id,class
10000,6
10001,7
10002,6
10003,6
10004,6
10005,5
10012,6
10014,6
10015,6
10018,6
10019,3
10021,6
10022,6
10023,7
10026,6
10027,6
10032,5
10033,7
10037,4
10041,4
10043,7
10045,6
10046,4
10049,6
10050,7
10051,6
10053,6
10056,6
10058,6
10060,7
10062,7
10068,7
10070,7
10077,6
10078,7
10080,7
10081,6
10082,6
10083,6
10084,6
10085,6
10087,7
10088,7
10089,7
10090,4
10091,7
10092,7
10093,7
10094,6
10095,7
10097,7
10098,7
10101,6
10107,6
10108,7
10109,7
10111,3
10112,7
10115,6
10117,6
10118,7
10121,4
10123,6
10126,7
10127,6
10134,6
10135,7
10136,6
10137,6
10141,6
10142,7
10143,6
10145,6
10146,6
10147,6
10148,7
10150,5
10151,6
10152,6
10155,6
10157,7
10160,6
10161,7
10162,6
10163,6
10164,1
10167,6
10170,6
10171,7
10172,6
10173,7
10174,7
10175,7
10178,6
10181,3
10182,6
10183,6
10185,5
10186,7
10188,7
10190,7
10192,6
10193,6
10194,6
10196,1
10201,6
10202,7
10204,6
10205,6
10206,6
10214,2
10215,6
10216,6
10217,7
10218,6
10221,6
10225,6
10228,7
10231,6
10232,4
10233,6
10235,7
10236,7
10239,7
10240,6
10243,3
10245,3
10246,6
10248,6
10249,6
10252,6
10255,7
10256,6
10258,7
10261,7
10262,7
10264,6
10265,6
10266,6
10271,6
10272,6
10275,7
10279,7
10280,5
10281,7
10282,3
10284,4
10287,7
10289,6
10290,5
10291,7
10292,6
10293,6
10295,6
10296,6
10297,7
10298,6
10300,7
10301,7
10305,7
10309,1
10310,7
10311,6
10314,7
10316,7
10317,6
10319,6
10320,6
10321,6
10322,7
10324,6
10325,6
10326,7
10329,6
10331,6
10334,6
10335,7
10336,7
10339,7
10341,7
10345,1
10346,7
10347,7
10349,6
10359,7
10362,6
10363,7
10367,6
10370,7
10373,6
10374,6
10375,6
10379,7
10381,6
10382,7
10383,6
10386,7
10387,6
10388,4
10391,7
10394,6
10396,7
10397,6
10399,7
10401,3
10402,6
10403,6
10404,6
10405,7
10406,7
10408,6
10409,4
10413,6
10414,7
10415,6
10416,7
10417,7
10418,4
10419,6
10420,6
10425,6
10426,3
10427,3
10429,7
10430,6
10431,7
10434,7
10435,6
10437,7
10439,4
10440,7
10447,7
10448,7
10449,6
10452,6
10454,7
10455,7
10457,7
10458,7
10460,7
10461,6
10462,7
10463,3
10465,7
10467,2
10469,6
10473,6
10474,6
10476,7
10479,6
10481,6
10482,6
10483,7
10484,6
10485,7
10487,6
10488,6
10490,6
10492,6
10493,7
10494,6
10495,6
10498,7
10500,6
10502,3
10504,7
10506,7
10508,6
10509,7
10511,6
10512,3
10513,6
10514,6
10515,7
10516,6
10517,6
10518,6
10522,6
10526,6
10528,6
10529,6
10530,4
10531,7
10532,6
10533,7
10537,7
10538,7
10539,6
10540,6
10545,4
10546,6
10548,7
10551,6
10554,7
10556,6
10561,6
10564,6
10565,3
10566,7
10567,6
10568,7
10570,6
10571,4
10572,3
10577,6
10578,7
10579,6
10591,7
10594,3
10597,7
10598,7
10601,7
10603,6
10604,7
10606,7
10607,6
10608,6
10609,6
10615,6
10620,6
10621,6
10625,6
10628,6
10629,6
10630,6
10631,6
10633,3
10634,4
10636,6
10637,7
10638,1
10639,7
10643,6
10648,7
10649,6
10652,6
10653,7
