id,start,end,pos
10000,31930,31966,9
10000,31966,32259,6
10000,32259,32268,9
10000,32268,32319,6
10000,32319,32363,0
10000,32363,32391,5
10000,32391,32403,0
10000,32403,32519,10
10000,32519,33052,0
10000,33052,37895,1
10000,37895,38934,0
10000,38934,38999,10
10000,38999,39437,0
10000,39437,39673,2
10000,39673,40003,0
10000,40003,44226,1
10000,44226,44258,0
10000,44258,44267,14
10000,44267,44483,0
10000,44483,45570,4
10000,45570,45757,0
10000,45757,45818,10
10000,45818,46844,0
10000,46844,47359,5
10000,47359,47558,0
10000,47558,47819,10
10000,47819,47896,0
10000,47896,50621,2
10000,50621,50870,0
10000,50870,50885,5
10000,50885,50959,0
10000,50959,56179,3
10000,56179,56186,0
10000,56186,56207,5
10000,56207,56214,0
10000,56214,56221,5
10000,56221,56358,0
10000,56358,56448,10
10000,56448,56525,0
10000,56525,59659,8
10000,59659,59999,0
10000,59999,61254,9
10000,61254,61276,0
10000,61276,61556,5
10000,61556,61585,0
10000,61585,61809,10
10000,61809,61819,0
10000,61819,61834,5
10000,61834,62064,0
10000,62064,62071,5
10002,31470,31485,9
10002,31485,31524,6
10002,31524,31550,9
10002,31550,31899,6
10002,31899,32064,0
10002,32064,32149,10
10002,32149,33031,0
10002,33031,35270,1
10002,35270,35402,0
10002,35402,35409,5
10002,35409,35593,0
10002,35593,37892,1
10002,37892,37930,0
10002,37930,38034,10
10002,38034,38815,0
10002,38815,38824,14
10002,38824,38853,0
10002,38853,39039,2
10002,39039,39097,0
10002,39097,41665,1
10002,41665,42042,0
10002,42042,44077,1
10002,44077,44287,0
10002,44287,44887,4
10002,44887,44922,0
10002,44922,44978,10
10002,44978,45070,0
10002,45070,48129,8
10002,48129,48199,0
10002,48199,48349,10
10002,48349,48502,0
10002,48502,48568,5
10002,48568,49444,0
10002,49444,50503,2
10002,50503,50689,0
10002,50689,50703,5
10002,50703,50736,0
10002,50736,55974,3
10002,55974,55982,0
10002,55982,55996,5
10002,55996,56003,0
10002,56003,56059,10
10002,56059,56067,0
10002,56067,56081,5
10002,56081,56088,0
10002,56088,58224,3
10002,58224,58234,0
10002,58234,58260,5
10002,58260,58408,0
10002,58408,59491,2
10002,59491,59762,0
10002,59762,61030,9
10002,61030,61048,0
10002,61048,61339,5
10002,61339,61348,0
10002,61348,61400,10
10002,61400,61562,0
10002,61562,61861,8
10003,32090,32107,9
10003,32107,32151,6
10003,32151,32163,9
10003,32163,32459,6
10003,32459,32467,9
10003,32467,33030,0
10003,33030,38223,1
10003,38223,38375,0
10003,38375,38901,10
10003,38901,39844,0
10003,39844,44533,1
10003,44533,44853,0
10003,44853,46029,4
10003,46029,46189,0
10003,46189,46214,5
10003,46214,46238,0
10003,46238,46579,10
10003,46579,46593,0
10003,46593,46961,5
10003,46961,47448,0
10003,47448,52309,8
10003,52309,52389,0
10003,52389,52697,10
10003,52697,52846,0
10003,52846,52860,5
10003,52860,52867,0
10003,52867,57170,3
10003,57170,57186,0
10003,57186,57213,5
10003,57213,57259,0
10003,57259,57699,10
10003,57699,57715,0
10003,57715,57909,5
10003,57909,58075,0
10003,58075,59845,8
10003,59845,60204,0
10003,60204,61452,9
10003,61452,61489,0
10003,61489,61712,10
10004,32580,32616,9
10004,32616,32829,6
10004,32829,32848,9
10004,32848,33191,0
10004,33191,33199,14
10004,33199,33341,0
10004,33341,35110,1
10004,35110,35308,0
10004,35308,35408,10
10004,35408,35612,0
10004,35612,37849,1
10004,37849,37886,0
10004,37886,38072,10
10004,38072,38243,0
10004,38243,39096,2
10004,39096,39189,0
10004,39189,41755,1
10004,41755,41791,0
10004,41791,41904,10
10004,41904,41960,0
10004,41960,44074,1
10004,44074,44313,0
10004,44313,45182,4
10004,45182,45252,0
10004,45252,50270,8
10004,50270,50361,0
10004,50361,50492,10
10004,50492,50764,0
10004,50764,50782,5
10004,50782,50801,0
10004,50801,56683,3
10004,56683,56695,0
10004,56695,56717,5
10004,56717,56865,0
10004,56865,56999,10
10004,56999,57086,0
10004,57086,59592,8
10004,59592,60010,0
10004,60010,60852,9
10004,60852,60864,0
10004,60864,60881,5
10004,60881,61466,0
10004,61466,61484,5
10004,61484,61494,0
10004,61494,61599,10
10004,61599,61842,0
10004,61842,61850,5
10004,61850,61858,0
10004,61858,62049,10
10004,62049,62065,0
10004,62065,62091,5
10004,62091,62112,0
10004,62112,62120,6
10005,62830,62845,9
10005,62845,63139,6
10005,63139,63162,9
10005,63162,63307,0
10005,63307,65651,4
10012,30980,31005,9
10012,31005,31249,6
10012,31249,31271,9
10012,31271,31378,0
10012,31378,32659,2
10012,32659,32930,0
10012,32930,38039,1
10012,38039,38141,0
10012,38141,38469,10
10012,38469,38818,0
10012,38818,39176,2
10012,39176,39361,0
10012,39361,44583,1
10012,44583,44668,0
10012,44668,44685,14
10012,44685,45020,0
10012,45020,49809,4
10012,49809,50035,0
10012,50035,50559,10
10012,50559,50866,0
10012,50866,50882,5
10012,50882,50934,0
10012,50934,55269,3
10012,55269,55428,0
10012,55428,55579,10
10012,55579,55718,0
10012,55718,55725,5
10012,55725,55732,0
10012,55732,55747,5
10012,55747,55756,0
10012,55756,55764,5
10012,55764,55788,0
10012,55788,58125,3
10012,58125,58135,0
10012,58135,58161,5
10012,58161,59139,0
10012,59139,59269,10
10012,59269,59483,0
10012,59483,59975,8
10012,59975,60288,0
10012,60288,61839,9
10012,61839,61885,0
10012,61885,61892,6
10014,31310,31332,9
10014,31332,31729,6
10014,31729,31752,9
10014,31752,31798,6
10014,31798,31901,0
10014,31901,32169,10
10014,32169,32351,0
10014,32351,32663,2
10014,32663,32940,0
10014,32940,35171,1
10014,35171,35212,0
10014,35212,35402,10
10014,35402,35435,0
10014,35435,38127,1
10014,38127,38899,0
10014,38899,38922,14
10014,38922,39134,0
10014,39134,39348,10
10014,39348,40031,0
10014,40031,44826,1
10014,44826,44924,0
10014,44924,44934,14
10014,44934,45261,0
10014,45261,46440,4
10014,46440,46474,0
10014,46474,46889,10
10014,46889,46973,0
10014,46973,49884,8
10014,49884,49978,0
10014,49978,50149,10
10014,50149,50356,0
10014,50356,50464,2
10014,50464,50619,0
10014,50619,50634,5
10014,50634,50651,0
10014,50651,57284,3
10014,57284,57988,0
10014,57988,57999,5
10014,57999,58013,0
10014,58013,58439,10
10014,58439,58454,0
10014,58454,58685,5
10014,58685,58842,0
10014,58842,58863,5
10014,58863,58991,0
10014,58991,59534,8
10014,59534,59761,0
10014,59761,62517,3
10014,62517,62530,0
10014,62530,62552,5
10014,62552,62611,0
10014,62611,62849,10
10014,62849,62958,0
10014,62958,62978,5
10015,31200,31244,9
10015,31244,31559,6
10015,31559,32581,0
10015,32581,38058,1
10015,38058,38272,0
10015,38272,38384,10
10015,38384,38689,0
10015,38689,39019,5
10015,39019,39262,0
10015,39262,44769,1
10015,44769,45190,0
10015,45190,45899,4
10015,45899,45944,0
10015,45944,46049,10
10015,46049,46293,0
10015,46293,46468,10
10015,46468,48642,0
10015,48642,50443,2
10015,50443,50596,0
10015,50596,50612,5
10015,50612,50626,0
10015,50626,56599,3
10015,56599,56609,0
10015,56609,56638,5
10015,56638,56660,0
10015,56660,56759,10
10015,56759,56784,0
10015,56784,56804,5
10015,56804,56812,0
10015,56812,58525,3
10015,58525,58539,0
10015,58539,58579,5
10015,58579,58598,0
10015,58598,58699,10
10015,58699,59198,0
10015,59198,59593,8
10015,59593,59944,0
10015,59944,59953,5
10015,59953,59970,0
10015,59970,62389,3
10015,62389,62551,0
10015,62551,62629,10
10018,30620,30637,9
10018,30637,30829,6
10018,30829,30854,9
10018,30854,32796,0
10018,32796,35164,1
10018,35164,35194,0
10018,35194,35272,10
10018,35272,35305,0
10018,35305,38012,1
10018,38012,38807,0
10018,38807,39185,2
10018,39185,39361,0
10018,39361,41764,1
10018,41764,41799,0
10018,41799,41899,10
10018,41899,41942,0
10018,41942,44391,1
10018,44391,44451,0
10018,44451,44467,14
10018,44467,44756,0
10018,44756,45497,4
10018,45497,45530,0
10018,45530,46003,10
10018,46003,46089,0
10018,46089,50241,8
10018,50241,50430,0
10018,50430,50521,10
10018,50521,50653,0
10018,50653,51414,5
10018,51414,51430,0
10018,51430,56867,3
10018,56867,56882,0
10018,56882,56910,5
10018,56910,56936,0
10018,56936,57377,10
10018,57377,57410,0
10018,57410,57450,5
10018,57450,57739,0
10018,57739,57782,5
10018,57782,57915,0
10018,57915,59976,8
10018,59976,60298,0
10018,60298,61219,9
10018,61219,61250,0
10018,61250,61319,10
10018,61319,61476,0
10018,61476,61873,8
10019,31730,31783,0
10019,31783,32425,12
10019,32425,32475,0
10019,32475,32557,5
10019,32557,32646,0
10019,32646,35124,1
10019,35124,35220,0
10019,35220,35289,10
10019,35289,36240,0
10019,36240,36254,5
10019,36254,36268,0
10019,36268,37846,12
10019,37846,39005,0
10019,39005,43266,12
10019,43266,43433,0
10019,43433,44787,4
10019,44787,44832,0
10019,44832,45109,10
10019,45109,45236,0
10019,45236,45341,1
10019,45341,47186,0
10019,47186,49768,2
10019,49768,49842,0
10019,49842,54053,12
10019,54053,54082,0
10019,54082,54807,9
10019,54807,54972,0
